codigo,nome,horas,pre_requisitos,obrigatorio,periodo,horario
COMP360,LÓGICA PARA COMPUTAÇÃO,72,,True,1,
COMP362,MATEMÁTICA DISCRETA,72,,True,1,
COMP363,CÁLCULO DIFERENCIAL E INTEGRAL,144,,True,1,
COMP359,PROGRAMAÇÃO 1,72,,True,1,
COMP361,"COMPUTAÇÃO, SOCIEDADE E ÉTICA",72,,True,1,
COMP367,GEOMETRIA ANALÍTICA,72,,True,2,
COMP364,ESTRUTURA DE DADOS,72,COMP359,True,2,
COMP366,ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES,72,,True,2,
COMP365,BANCO DE DADOS,72,,True,2,
COMP371,ÁLGEBRA LINEAR,72,COMP367,True,3,
COMP369,TEORIA DOS GRAFOS,72,"COMP360,COMP364",True,3,
COMP370,PROBABILIDADE E ESTATÍSTICA,72,COMP363,True,3,
COMP368,REDES DE COMPUTADORES,72,COMP359,True,3,
COMP376,TEORIA DA COMPUTAÇÃO,72,,True,4,
COMP374,PROJETO E ANÁLISE DE ALGORITMOS,72,"COMP364,COMP369",True,4,
COMP372,PROGRAMAÇÃO 2,72,"COMP364,COMP365,COMP368",True,4,
COMP373,PROGRAMAÇÃO 3,72,"COMP364,COMP365,COMP368",True,4,
COMP377,ACE 1,75,,True,4,
COMP378,SISTEMAS OPERACIONAIS,72,COMP366,True,5,
COMP379,COMPILADORES,72,"COMP364,COMP376",True,5,
COMP380,INTELIGÊNCIA ARTIFICIAL,72,"COMP360,COMP364",True,5,
COMP381,COMPUTAÇÃO GRÁFICA,72,,True,5,
COMP383,ACE 2,75,COMP377,True,5,
COMP382,PROJETO E DESENVOLVIMENTO DE SISTEMAS,288,"COMP360,COMP362,COMP363,COMP359,COMP361,COMP367,COMP364,COMP366,COMP365,COMP371,COMP369,COMP370,COMP368,COMP376,COMP374,COMP372,COMP373,COMP378,COMP379,COMP380,COMP381,COMP381",True,6,
COMP384,ACE 3,75,,True,6,
COMP386,METODOLOGIA DE PESQUISA E TRABALHO INDIVIDUAL,72,,True,7,
COMP387,NOÇÕES DE DIREITO,72,,True,7,
COMP388,ACE 4,75,COMP384,True,7,
TCC0296,TCC,72,,True,8,
COMP385,ACE 5,75,,True,8,
COMP001,INTRODUÇÃO À COMPUTAÇÃO,80,,False,2,
COMP389,CONCEITOS DE LINGUAGEM DE PROGRAMAÇÃO,72,,False,2,
COMP390,APRENDIZAGEM DE MÁQUINA,72,,False,2,
COMP391,SISTEMAS DIGITAIS,72,,False,2,
COMP392,SISTEMAS DISTRIBUÍDOS,72,,False,2,
COMP393,REDES NEURAIS E APRENDIZADO PROFUNDO,72,,False,2,
COMP394,FPGA,72,,False,2,
COMP395,INTERAÇÃO HOMEM-MÁQUINA,72,,False,2,
COMP396,PROCESSAMENTO DIGITAL DE IMAGENS,72,,False,2,
COMP397,COMPUTAÇÃO EVOLUCIONÁRIA,72,,False,2,
COMP398,SISTEMAS EMBARCADOS,72,,False,2,
COMP399,GERÊNCIA DE PROJETO,72,,False,2,
COMP400,VISÃO COMPUTACIONAL,72,,False,2,
COMP401,CIÊNCIA DE DADOS,72,,False,2,
COMP402,MICROCONTROLADORES E APLICAÇÕES,72,,False,2,
COMP403,SEGURANÇA DE SISTEMAS COMPUTACIONAIS,72,,False,2,
COMP404,CÁLCULO 3,72,,False,2,
COMP405,TÓPICOS EM CIÊNCIA DA COMPUTAÇÃO 1,72,,False,2,
COMP406,TÓPICOS EM CIÊNCIA DA COMPUTAÇÃO 2,72,,False,2,
COMP407,TÓPICOS EM CIÊNCIA DA COMPUTAÇÃO 3,72,,False,2,
COMP408,TÓPICOS EM MATEMÁTICA PARA COMPUTAÇÃO 1,72,,False,2,
COMP409,TÓPICOS EM MATEMÁTICA PARA COMPUTAÇÃO 2,72,,False,2,
COMP410,TÓPICOS EM MATEMÁTICA PARA COMPUTAÇÃO 3,72,,False,2,
COMP411,TÓPICOS EM FÍSICA PARA COMPUTAÇÃO 1,72,,False,2,
COMP412,TÓPICOS EM FÍSICA PARA COMPUTAÇÃO 2,72,,False,2,
COMP413,TÓPICOS EM FÍSICA PARA COMPUTAÇÃO 3,72,,False,2,
COMP417,NAVEGAÇÃO EM ROBÓTICA MÓVEL,72,,False,2,
COMP418,PESQUISA OPERACIONAL,72,,False,2,
COMP419,CÁLCULO 2,72,,False,2,
COMP420,EMPREENDEDORISMO,72,,False,2,
COMP421,INTRODUÇÃO À COMPUTAÇÃO,72,,False,2,
COMP422,TESTE DE SOFTWARE,72,,False,2,
COMP423,BANCO DE DADOS 2,40,,False,2,
COMP424,FUNDAMENTOS EM IA APLICADOS AO DIAGNÓSTICO MÉDICO,72,,False,2,
COMP425,PROCESSAMENTO DE LINGUAGEM NATURAL,72,,False,2,
COMP426,LABORATÓRIO DE PROGRAMAÇÃO,40,,False,2,
COMP427,REDES NEURAIS E APRENDIZADO PROFUNDO,72,,False,2,
COMP428,INTELIGÊNCIA ARTIFICIAL APLICADA AO DIAGNÓSTICO DE DOENÇAS,72,,False,2,
COMP429,CÁLCULO 4,72,,False,2,
COMP430,TÓPICOS EM SOFTWARE BÁSICO,72,,False,2,
COMP431,LIBRAS,72,,False,2,
COMP432,GAMIFICAÇÃO,72,,False,2,
COMP433,EXPLORAÇÃO E MINERAÇÃO DE DADOS,72,,False,2,
COMP434,TÓPICOS ESPECIAIS EM GESTÃO DE PROJETOS,72,,False,2,
COMP435,TÓPICOS EM BANCO DE DADOS: GER. DE DADOS SEMIESTRUTURADOS,40,,False,2,
COMP437,TÓPICOS EM ENGENHARIA DE SOFTWARE - PROJETANDO LINHAS DE PRODUTO DE SOFTWARE,40,,False,2,
COMP439,CÁLCULO 1,72,,False,2,
COMP440,INTRODUÇÃO À ADMINISTRAÇÃO,72,,False,2,
COMP441,LABORATÓRIO DE INTELIGÊNCIA ARTIFICIAL EM ROBÓTICA,72,,False,2,
COMP442,TÓPICOS ESPECIAIS EM GERÊNCIA E PROCESSAMENTO DE DADOS EM LARGA ESCALA,72,,False,2,
COMP443,REDES DE COMPUTADORES 2,40,,False,2,
COMP444,REUSO DE SOFTWARE E METODOLOGIAS ÁGEIS,40,,False,2,
COMP445,INGLÊS INSTRUMENTAL,72,,False,2,
COMP449,METODOLOGIA E PROCESSOS,40,,False,2,
COMP450,CIRCUITOS DIGITAIS,40,,False,2,
COMP451,DESENHO,72,,False,2,
COMP453,"TÓPICOS ESPECIAIS EM BANCO DE DADOS: DADOS ESTRUTURADOS, SEMIESTRUTURADOS E NÃO-ESTRUTURADOS",72,,False,2,
